Brand: hyundai
Referer header: https://www.hyundaiusa.com/
Found 152 image entries across 14 models.

[1/152] venue/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[2/152] venue/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[3/152] venue/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[4/152] venue/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[5/152] venue/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[6/152] elantra/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[7/152] elantra/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[8/152] elantra/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[9/152] elantra/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[10/152] elantra/sel-sport/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[11/152] elantra/sel-sport-premium/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[12/152] elantra/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[13/152] elantra/n-line/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[14/152] elantra/n-line/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[15/152] elantra/n-line/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[16/152] elantra/n-line/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[17/152] elantra/hybrid-blue/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[18/152] elantra/hybrid-blue/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[19/152] elantra/hybrid-blue/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[20/152] elantra/hybrid-blue/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[21/152] elantra/hybrid-sel-sport/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[22/152] elantra/hybrid-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[23/152] elantra-n/elantra-n/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[24/152] elantra-n/elantra-n/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[25/152] elantra-n/elantra-n/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[26/152] elantra-n/elantra-n/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[27/152] sonata/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[28/152] sonata/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[29/152] sonata/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[30/152] sonata/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[31/152] sonata/sel-sport/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[32/152] sonata/n-line/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[33/152] sonata/n-line/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[34/152] sonata/n-line/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[35/152] sonata/n-line/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[36/152] sonata/hybrid-blue/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[37/152] sonata/hybrid-blue/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[38/152] sonata/hybrid-blue/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[39/152] sonata/hybrid-blue/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[40/152] sonata/hybrid-sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[41/152] sonata/hybrid-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[42/152] kona/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[43/152] kona/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[44/152] kona/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[45/152] kona/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[46/152] kona/sel-sport/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[47/152] kona/sel-premium/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[48/152] kona/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[49/152] tucson/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[50/152] tucson/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[51/152] tucson/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[52/152] tucson/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[53/152] tucson/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[54/152] tucson/xrt/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[55/152] tucson/xrt/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[56/152] tucson/xrt/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[57/152] tucson/xrt/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[58/152] tucson/sel-premium/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[59/152] tucson/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[60/152] tucson/hybrid-blue-se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[61/152] tucson/hybrid-blue-se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[62/152] tucson/hybrid-blue-se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[63/152] tucson/hybrid-blue-se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[64/152] tucson/hybrid-sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[65/152] tucson/hybrid-sel-convenience/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[66/152] tucson/hybrid-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[67/152] tucson/phev-sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[68/152] tucson/phev-sel/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[69/152] tucson/phev-sel/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[70/152] tucson/phev-sel/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[71/152] tucson/phev-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[72/152] santa-cruz/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[73/152] santa-cruz/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[74/152] santa-cruz/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
