Brand: hyundai
Referer header: https://www.hyundaiusa.com/
Found 152 image entries across 14 models.

[1/152] venue/se/front_three_quarter  ok (66468 bytes, image/webp)
[2/152] venue/se/rear_three_quarter  ok (83692 bytes, image/webp)
[3/152] venue/se/side_profile  ok (38198 bytes, image/webp)
[4/152] venue/se/interior_dashboard  ok (41302 bytes, image/webp)
[5/152] venue/sel/front_three_quarter  ok (54944 bytes, image/webp)
[6/152] elantra/se/front_three_quarter  ok (36724 bytes, image/webp)
[7/152] elantra/se/rear_three_quarter  ok (72648 bytes, image/webp)
[8/152] elantra/se/side_profile  ok (21156 bytes, image/webp)
[9/152] elantra/se/interior_dashboard  ok (40822 bytes, image/webp)
[10/152] elantra/sel-sport/front_three_quarter  ok (51922 bytes, image/webp)
[11/152] elantra/sel-sport-premium/front_three_quarter  ok (45202 bytes, image/webp)
[12/152] elantra/limited/front_three_quarter  ok (463684 bytes, image/webp)
[13/152] elantra/n-line/front_three_quarter  ok (36724 bytes, image/webp)
[14/152] elantra/n-line/rear_three_quarter  ok (72648 bytes, image/webp)
[15/152] elantra/n-line/side_profile  ok (21156 bytes, image/webp)
[16/152] elantra/n-line/interior_dashboard  ok (40822 bytes, image/webp)
[17/152] elantra/hybrid-blue/front_three_quarter  ok (36724 bytes, image/webp)
[18/152] elantra/hybrid-blue/rear_three_quarter  ok (72648 bytes, image/webp)
[19/152] elantra/hybrid-blue/side_profile  ok (21156 bytes, image/webp)
[20/152] elantra/hybrid-blue/interior_dashboard  ok (40822 bytes, image/webp)
[21/152] elantra/hybrid-sel-sport/front_three_quarter  ok (51922 bytes, image/webp)
[22/152] elantra/hybrid-limited/front_three_quarter  ok (45202 bytes, image/webp)
[23/152] elantra-n/elantra-n/front_three_quarter  ok (27028 bytes, image/webp)
[24/152] elantra-n/elantra-n/rear_three_quarter  ok (62214 bytes, image/webp)
[25/152] elantra-n/elantra-n/side_profile  ok (25230 bytes, image/webp)
[26/152] elantra-n/elantra-n/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[27/152] sonata/se/front_three_quarter  ok (57086 bytes, image/webp)
[28/152] sonata/se/rear_three_quarter  ok (12692 bytes, image/webp)
[29/152] sonata/se/side_profile  ok (38694 bytes, image/webp)
[30/152] sonata/se/interior_dashboard  ok (137170 bytes, image/webp)
[31/152] sonata/sel-sport/front_three_quarter  ok (76384 bytes, image/webp)
[32/152] sonata/n-line/front_three_quarter  ok (57086 bytes, image/webp)
[33/152] sonata/n-line/rear_three_quarter  ok (12692 bytes, image/webp)
[34/152] sonata/n-line/side_profile  ok (38694 bytes, image/webp)
[35/152] sonata/n-line/interior_dashboard  ok (137170 bytes, image/webp)
[36/152] sonata/hybrid-blue/front_three_quarter  ok (57086 bytes, image/webp)
[37/152] sonata/hybrid-blue/rear_three_quarter  ok (12692 bytes, image/webp)
[38/152] sonata/hybrid-blue/side_profile  ok (38694 bytes, image/webp)
[39/152] sonata/hybrid-blue/interior_dashboard  ok (137170 bytes, image/webp)
[40/152] sonata/hybrid-sel/front_three_quarter  ok (76384 bytes, image/webp)
[41/152] sonata/hybrid-limited/front_three_quarter  ok (55698 bytes, image/webp)
[42/152] kona/se/front_three_quarter  ok (90128 bytes, image/webp)
[43/152] kona/se/rear_three_quarter  ok (118428 bytes, image/webp)
[44/152] kona/se/side_profile  ok (9882 bytes, image/webp)
[45/152] kona/se/interior_dashboard  ok (50300 bytes, image/webp)
[46/152] kona/sel-sport/front_three_quarter  ok (109064 bytes, image/webp)
